"Etat des précipitations par région (mm)
Grand Tunis";;;;;
;;;;;
Reference;Date;Tunis;Ariana;BenArous;Manouba
ME-412;2000;128;211;272;230
PL-634;2001;158;228;252;221
FN-103;2002;159;245;267;225
AS-317;2003;99;220;277;184
FN-103;2004;122;216;273;180
AS-317;2005;93;180;222;200
XE-810;2006;83;173;230;126
PL-634;2007;74;161;232;141
AS-317;2008;73;158;217;147
ME-412;2009;109;189;200;91
PL-634;2010;120;150;174;77
FN-103;2011;81;138;179;96
XE-810;2012;126;129;152;92
PL-634;2013;147;127;160;108
PL-634;2014;141;134;157;93
XE-810;2015;170;131;84;185
ME-412;2016;182;145;89;180
FN-103;2017;188;125;113;193
FN-103;2018;204;107;101;230
PL-634;2019;206;131;101;217
AS-317;2020;230;135;119;245
XE-810;2021;226;141;119;247
